BandID,BandCombo,Age,Sex,d13C,d15N,BodyMass,Tarsus,Stmass
1713-44432,GMYW,HY,M,-22.6,3.8,113,42.2,2.677725118
1713-44434,OMON,HY,M,-22.1,5.7,117,40.1,2.917705736
1713-44438,BMGN,HY,M,-23.2,6.4,111,43.6,2.54587156
1713-44439,RMOB,HY,M,-21.8,4.7,114,44.9,2.538975501
1713-44440,YMBW,HY,F,-22.2,4.6,100,40.8,2.450980392
1713-44441,NMGY,HY,M,-22.6,3.3,104,42,2.476190476
1713-44444,RMOO,HY,F,-22.2,4.2,103,39.8,2.587939698
1713-44446,RMWB,HY,M,-22.7,4.1,112,42.6,2.629107981
1713-44447,YMOW,HY,M,-22.4,5.2,102,40.6,2.512315271
1713-44448,GMOO,HY,M,-21.5,5.9,110,39.9,2.756892231
1713-44452,NMBB,HY,M,-21.9,4.7,118,41.1,2.871046229
1713-44453,WMRW,HY,F,-21.9,4.1,94,43.2,2.175925926
1713-44455,OMYW,HY,F,-21.5,4.6,114,41.2,2.766990291
1713-44458,OMGR,HY,F,-22.6,4.8,101,41.2,2.451456311
1713-44459,WMBO,HY,F,-22.6,3.6,112,43.3,2.586605081
1713-44460,GMGB,HY,M,-21.5,4.5,110,43.3,2.540415704
1713-44461,OMYY,HY,M,-21.7,4.9,123,44.1,2.789115646
1713-44462,RMGG,HY,M,-22,3.6,116,43.7,2.654462243
1713-44463,BMNG,HY,M,-22.2,3.5,122,44.3,2.753950339
1713-44464,WMOO,HY,M,-23,5.5,109,43.4,2.511520737
1713-44465,NMNY,HY,F,-22.5,5.2,110,42,2.619047619
1713-44466,NMBN,HY,M,-22.3,6.3,120,42,2.857142857
1713-44467,WMBB,HY,F,-22,4.8,88,43,2.046511628
1713-44469,YMOO,HY,F,-21.7,4.9,108,42.5,2.541176471
1713-44471,OMWO,HY,M,-22.5,3.8,108,41,2.634146341
1713-44474,RMBY,HY,M,-21.9,5.8,94,43.2,2.175925926
1713-44476,WMOG,HY,M,-21.1,5.4,106,39.6,2.676767677
1713-44477,BMNN,HY,F,-22,5.2,103,39.9,2.581453634
1713-44479,OMWG,HY,F,-22.1,4,100,42.1,2.375296912
1713-44480,WMYY,HY,F,-22,4.7,105,41.1,2.554744526
1713-44481,BMNO,HY,M,-22.3,5.1,106,43.2,2.453703704
1713-44482,GMOW,HY,F,-21.1,6.4,90,40.8,2.205882353
1713-44483,WMGB,HY,F,-22.5,4.7,104,41,2.536585366
1713-44492,RMNR,HY,M,-23.3,5.4,118,43.4,2.718894009
1713-44493,PMOY,HY,M,-23.5,5.4,116,44.8,2.589285714
1713-44494,NMSB,HY,M,-22.1,4.8,118,42,2.80952381
1713-44496,OMRY,HY,M,-22.3,5.4,106,42.4,2.5
1713-44497,SMPY,HY,M,-22.4,4.1,107,43.9,2.437357631
1713-44499,GMSO,HY,F,-22.8,3,99,39.2,2.525510204
1713-44500,RMPN,HY,F,-22.6,3.7,103,43.7,2.356979405
1413-06215,PMWR,HY,M,-23.1,4.2,114,44.5,2.561797753
1413-06216,YMNW,HY,M,-22.9,4.4,63.5,41.7,1.522781775
1413-06217,OMOY,HY,M,-23,5.3,106,43.5,2.436781609
1413-06219,BMOP,HY,M,-22.8,3.9,110,38.5,2.857142857
1413-06220,GMON,HY,F,-21.9,4.1,101,40.4,2.5
1413-06222,WMBP,HY,M,-22.2,4.1,112,41.2,2.718446602
1643-06451,NMYP,HY,M,-22.4,5.6,116,42.3,2.742316785
1643-06452,SMSS,HY,M,-22.1,5.4,113,43.8,2.579908676
1643-06453,WMYG,HY,F,-22.4,4.7,97,41,2.365853659
1643-06454,SMON,HY,F,-22.2,4.5,97,36.8,2.635869565
1643-06455,PMBN,HY,F,-21.9,5.3,109,38.8,2.809278351
1643-06456,RMWO,HY,F,-22.2,5.6,102,40.1,2.543640898
1643-06457,YMOB,HY,M,-22.3,5.4,112,44.5,2.516853933
1643-06458,NMOO,HY,M,-22.1,4.7,128,42.7,2.99765808
1643-06459,SMGO,HY,F,-22.7,3.4,99,40.9,2.420537897
1643-06460,WMWN,HY,F,-23,3.8,104,40,2.6
1643-06461,RMNP,HY,F,-23.2,5.9,106,40.8,2.598039216
1643-06462,WMYB,HY,M,-22.2,4.3,119,44.8,2.65625
1643-06463,PMYN,HY,F,-22.3,5.5,109,42.7,2.552693208
1643-06464,GMPR,HY,M,-22.4,4.4,85,39.5,2.151898734
1643-06465,GMWP,HY,F,-22.4,5,94,40.4,2.326732673
1643-06466,NMYN,HY,F,-22.4,3.9,98,40.9,2.39608802
1643-06467,SMOB,HY,M,-22.4,5.3,108,42.7,2.529274005
1643-06470,GMRG,HY,M,-21.9,4.9,113,39.9,2.832080201
1643-06474,GMSW,HY,M,-22.5,5.2,105,41.1,2.554744526
1643-06475,YMWP,HY,F,-22.5,5.2,99,39.3,2.519083969
1413-06223,VMBP,HY,M,-23.2,5.1,113,42.2,2.677725118
1413-06224,YMWW,HY,F,-22.3,5.4,112,39.8,2.814070352
1643-06480,OMSO,HY,F,-22.9,4.5,108,38.7,2.790697674
1643-06482,PMGW,HY,F,-22.7,4.4,107,41,2.609756098
1643-06484,OMVP,HY,M,-22.6,3.8,107,42.9,2.494172494
1643-06487,RMOR,HY,F,-22.3,3.9,111,40.8,2.720588235
1643-06488,PMNN,HY,F,-22.3,5.1,104,39.9,2.606516291
1643-06490,RMSG,HY,M,-22.9,5.2,116,44,2.636363636
1643-06491,VMVO,HY,F,-22.6,4.6,106,42,2.523809524
1643-06476,NMGP,HY,M,-21.7,5.6,108,41.5,2.602409639
1643-06492,YMNR,HY,F,-22.8,4.8,104,41.4,2.512077295
1643-06493,GMOY,HY,M,-22.8,4.7,120,42.1,2.850356295
1643-06494,OMNY,HY,F,-22.9,5.9,105,42,2.5
1643-06495,BMYG,HY,M,-23.1,5.1,108,43.7,2.471395881
1643-06496,BMRV,HY,F,-21.4,5.4,102,43,2.372093023
1643-06498,SMGG,HY,M,-22.5,5.2,107,43.1,2.482598608
1643-06477,OMWV,HY,F,-22.1,5.6,100,38.8,2.577319588
1643-06478,RMOY,HY,M,-22.1,5.4,114,42.1,2.70783848
